<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.09.27	1900.80	1903.85	1872.48	1875.66	79242	0	7
2023.09.28	1876.61	1879.55	1857.58	1864.71	89370	0	7
2023.09.29	1865.02	1879.78	1846.30	1849.12	89641	0	7
2023.10.02	1847.38	1848.92	1827.06	1827.97	87689	0	7
2023.10.03	1828.86	1833.31	1815.02	1823.42	109858	0	7
2023.10.04	1823.68	1830.51	1816.55	1820.60	110067	0	7
2023.10.05	1821.84	1829.12	1812.93	1820.13	93693	0	7
2023.10.06	1820.79	1834.80	1810.37	1831.92	100320	0	7
2023.10.09	1853.33	1863.46	1844.19	1860.88	111310	0	7
2023.10.10	1861.17	1865.41	1853.00	1859.86	126777	0	7
2023.10.11	1860.25	1877.13	1858.61	1873.49	123689	0	7
2023.10.12	1874.27	1884.96	1867.86	1868.84	118817	0	7
2023.10.13	1869.21	1930.76	1869.20	1929.57	120180	0	7
2023.10.16	1927.63	1927.63	1908.14	1919.73	85325	0	7
2023.10.17	1919.82	1931.52	1912.33	1923.07	87892	0	7
2023.10.18	1923.34	1962.59	1923.27	1948.53	109533	0	7
2023.10.19	1947.50	1977.69	1945.19	1974.56	114371	0	7
2023.10.20	1973.11	1997.13	1971.96	1980.23	117217	0	7
2023.10.23	1972.75	1982.80	1964.31	1972.47	102444	0	7
2023.10.24	1973.44	1980.81	1953.57	1971.45	96846	0	7
2023.10.25	1969.95	1987.18	1962.89	1979.09	87115	0	7
2023.10.26	1980.63	1993.41	1971.68	1984.55	100985	0	7
2023.10.27	1983.78	2009.33	1976.83	2005.23	95190	0	7
2023.10.30	2002.99	2006.73	1990.85	1996.19	92001	0	7
2023.10.31	1995.80	2007.72	1978.75	1983.47	94276	0	7
2023.11.01	1983.63	1992.05	1969.85	1980.08	95462	0	7
2023.11.02	1982.25	1991.03	1978.82	1985.44	80948	0	7
2023.11.03	1986.02	2004.03	1983.20	1992.31	87172	0	7
2023.11.06	1991.36	1993.03	1977.28	1977.95	71125	0	7
2023.11.07	1978.16	1978.28	1956.67	1968.67	79861	0	7
2023.11.08	1969.16	1971.01	1947.41	1949.95	75859	0	7
2023.11.09	1950.83	1965.53	1944.59	1958.30	85968	0	7
2023.11.10	1958.18	1960.75	1932.93	1936.97	85461	0	7
2023.11.13	1940.31	1949.16	1919.39	1946.01	84581	0	7
2023.11.14	1946.16	1970.81	1943.77	1962.93	86022	0	7
2023.11.15	1962.65	1975.15	1955.40	1959.32	95699	0	7
2023.11.16	1960.38	1987.94	1956.51	1981.07	86742	0	7
2023.11.17	1981.26	1993.40	1978.63	1980.22	89932	0	7
2023.11.20	1977.55	1985.18	1965.29	1977.45	101022	0	7
2023.11.21	1978.55	2007.51	1978.38	1998.48	107066	0	7
2023.11.22	1998.57	2006.28	1986.89	1989.88	102154	0	7
