<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.10	4589.83	4591.20	4484.45	4499.20	40212	0	39
2022.02.11	4500.85	4528.35	4401.60	4427.35	62085	0	39
2022.02.14	4414.15	4433.70	4360.20	4399.70	61157	0	34
2022.02.15	4403.18	4472.93	4387.43	4459.68	41341	0	38
2022.02.16	4463.33	4489.08	4428.08	4469.33	36596	0	38
2022.02.17	4474.43	4478.93	4371.78	4380.03	51291	0	38
2022.02.18	4373.93	4415.18	4324.63	4350.13	61297	0	38
2022.02.21	4325.01	4394.63	4289.13	4293.13	54463	0	38
2022.02.22	4268.76	4361.88	4253.63	4322.63	91973	0	38
2022.02.23	4320.13	4349.13	4215.88	4221.63	60051	0	38
2022.02.24	4219.96	4293.63	4105.08	4277.38	120658	0	38
2022.02.25	4268.48	4387.23	4231.11	4383.48	88664	0	38
2022.02.28	4279.93	4388.43	4261.93	4373.43	101785	0	38
2022.03.01	4374.08	4401.58	4278.58	4312.46	81370	0	38
2022.03.02	4311.48	4401.98	4281.48	4373.23	77146	0	38
2022.03.03	4377.48	4421.23	4343.73	4365.48	65900	0	38
2022.03.04	4367.93	4376.43	4283.93	4323.48	84037	0	38
2022.03.07	4281.53	4327.53	4187.78	4192.66	70885	0	38
2022.03.08	4189.93	4277.18	4141.76	4154.68	75068	0	38
2022.03.09	4160.08	4299.83	4157.58	4282.33	63225	0	38
2022.03.10	4276.81	4283.18	4208.43	4261.93	52735	0	38
2022.03.11	4262.98	4336.48	4199.23	4210.48	47052	0	38
2022.03.14	4226.43	4254.33	4162.08	4178.83	51348	0	34
2022.03.15	4182.00	4272.48	4139.23	4262.73	49753	0	34
2022.03.16	4258.90	4376.63	4249.26	4371.88	47746	0	34
2022.03.17	4366.73	4415.83	4329.83	4393.21	43247	0	34
2022.03.18	4396.35	4473.83	4373.83	4472.33	37569	0	34
2022.03.21	4467.55	4481.78	4424.03	4468.28	36149	0	34
2022.03.22	4463.55	4523.28	4442.03	4514.53	30211	0	34
2022.03.23	4511.85	4522.58	4453.58	4457.83	37070	0	34
2022.03.24	4455.05	4525.53	4454.28	4524.53	36898	0	34
2022.03.25	4524.93	4547.28	4501.91	4544.28	37718	0	34
2022.03.28	4547.28	4580.63	4518.63	4578.63	37802	0	34
2022.03.29	4575.90	4639.38	4573.88	4631.38	37699	0	34
2022.03.30	4626.65	4635.38	4582.88	4611.63	32253	0	34
2022.03.31	4608.10	4621.83	4534.08	4548.83	31602	0	34
2022.04.01	4550.58	4563.08	4509.08	4543.08	33953	0	30
2022.04.04	4545.18	4587.43	4535.68	4584.68	24953	0	38
2022.04.05	4582.73	4595.48	4515.23	4531.98	27972	0	38
2022.04.06	4532.33	4535.33	4451.83	4480.33	42622	0	38
2022.04.07	4481.33	4522.83	4451.33	4502.08	43347	0	38
2022.04.08	4503.83	4526.58	4475.83	4490.58	36084	0	38
2022.04.11	4494.93	4495.43	4410.43	4415.93	43868	0	38
