<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.06	12545.00	12593.45	12368.95	12507.49	41150	0	0
2020.11.09	12507.49	13296.45	12507.47	12999.08	108638	0	0
2020.11.10	12999.08	13241.55	12876.65	13175.50	55339	0	0
2020.11.11	13175.00	13255.45	13098.05	13238.45	25136	0	0
2020.11.12	13238.45	13245.45	12939.25	12988.95	36291	0	0
2020.11.13	12988.95	13142.15	12930.85	13112.10	29946	0	0
2020.11.16	13129.40	13280.45	13076.45	13153.06	38435	0	0
2020.11.17	13153.06	13169.25	13049.25	13126.21	21316	0	0
2020.11.18	13126.21	13214.15	13072.10	13099.56	25746	0	0
2020.11.19	13099.56	13148.45	13033.45	13087.40	21785	0	0
2020.11.20	13087.40	13170.25	13040.75	13139.20	20721	0	0
2020.11.23	13127.10	13314.65	13119.10	13183.10	33511	0	0
2020.11.24	13183.10	13347.64	13182.70	13339.16	17383	0	0
2020.11.25	13339.16	13374.05	13233.35	13295.30	23755	0	0
2020.11.26	13295.30	13333.15	13251.25	13271.20	13971	0	0
2020.11.27	13271.20	13367.05	13242.00	13365.50	15581	0	0
2020.11.30	13383.90	13447.45	13226.40	13318.66	37687	0	0
2020.12.01	13318.66	13438.65	13293.98	13377.60	23041	0	0
2020.12.02	13377.60	13395.80	13271.85	13302.80	17311	0	0
2020.12.03	13302.80	13327.85	13182.85	13203.29	19050	0	0
2020.12.04	13203.29	13321.25	13203.29	13276.90	16232	0	0
2020.12.07	13293.90	13332.31	13160.95	13245.40	29423	0	0
2020.12.08	13245.40	13320.55	13200.55	13308.28	17713	0	0
2020.12.09	13308.28	13460.25	13289.55	13345.10	30459	0	0
2020.12.10	13345.10	13375.05	13213.85	13285.48	26279	0	0
2020.12.11	13285.48	13316.05	13010.15	13133.80	46013	0	0
2020.12.14	13186.70	13297.75	13145.96	13214.36	27593	0	0
2020.12.15	13214.36	13435.24	13186.35	13422.20	28995	0	0
2020.12.16	13422.20	13603.05	13384.75	13587.70	27111	0	0
2020.12.17	13587.70	13736.35	13559.85	13691.40	24931	0	0
2020.12.18	13691.40	13785.75	13611.75	13682.40	33901	0	0
2020.12.21	13634.45	13647.13	13052.75	13368.85	92317	0	0
2020.12.22	13368.85	13441.85	13237.55	13408.99	36847	0	0
2020.12.23	13408.99	13624.75	13336.45	13595.45	39015	0	0
2020.12.28	13648.05	13825.95	13617.65	13787.52	27714	0	0
2020.12.29	13787.52	13911.25	13697.25	13734.45	37494	0	0
2020.12.30	13734.45	13802.65	13666.15	13674.35	21291	0	0
2021.01.04	13715.25	13927.85	13596.75	13690.95	63791	0	0
2021.01.05	13690.95	13771.55	13567.55	13697.75	40121	0	0
2021.01.06	13697.75	13935.55	13617.35	13883.85	45031	0	0
2021.01.07	13883.85	14012.65	13861.25	13990.26	19640	0	0
2021.01.08	13990.26	14139.25	13983.45	14106.45	19542	0	0
2021.01.11	14081.75	14098.75	13811.85	13936.75	42881	0	0
2021.01.12	13936.75	14007.15	13846.45	13922.65	30731	0	0
2021.01.13	13922.65	13982.25	13870.25	13958.45	18821	0	0
2021.01.14	13958.45	14032.95	13945.75	13966.15	16671	0	0
2021.01.15	13966.15	13995.07	13675.95	13732.15	40425	0	0
2021.01.18	13747.25	13915.05	13696.05	13886.25	29901	0	0
2021.01.19	13886.25	13964.65	13806.15	13862.58	29334	0	0
2021.01.20	13862.58	13970.23	13799.45	13938.23	26592	0	0
2021.01.21	13938.23	14028.15	13871.15	13933.35	30913	0	0
2021.01.22	13933.35	13942.65	13744.05	13866.47	33033	0	0
2021.01.25	13882.47	13954.75	13597.25	13723.61	55615	0	0
2021.01.26	13723.61	13928.25	13586.65	13893.95	51287	0	0
2021.01.27	13893.95	13914.85	13396.35	13492.85	63591	0	0
2021.01.28	13493.85	13717.35	13309.55	13608.55	70091	0	0
2021.01.29	13608.55	13635.37	13367.65	13393.65	32055	0	0
2021.02.01	13367.95	13685.75	13274.31	13661.97	52887	0	0
2021.02.02	13661.97	13893.56	13633.75	13883.85	29775	0	0
2021.02.03	13883.85	13987.85	13859.35	13980.85	16001	0	0
2021.02.04	13980.85	14074.95	13910.05	14067.95	24271	0	0
2021.02.05	14067.95	14115.05	14012.75	14063.94	20060	0	0
2021.02.08	14084.05	14191.55	14041.85	14083.81	29917	0	0
2021.02.09	14083.81	14092.61	13959.65	14035.85	21797	0	0
2021.02.10	14035.85	14098.45	13826.55	13934.95	44291	0	0
2021.02.11	13934.95	14053.05	13903.15	14016.42	21834	0	0
